Bear_ID
BearID_32
BearID_281
BearID_7
BearID_52
BearID_144
BearID_302
BearID_89
BearID_160
BearID_50
BearID_139
BearID_114
BearID_129
BearID_207
BearID_135
BearID_204
BearID_38
BearID_213
BearID_294
BearID_250
BearID_179
